frame,phi,theta,psi
0,-0.0139897,0.0502518,-0.0392424
1,-0.0263345,0.0519528,-0.0273952
2,-0.0482712,-0.0166073,0.0437576
3,-0.086706,-0.0831743,0.0240246
4,-0.0290399,-0.0194607,-0.0172757
5,0.00641667,-0.0191295,0.0111459
6,0.0905273,-0.127012,0.0585891
7,0.178164,-0.245374,0.0554061
8,0.224946,-0.210771,0.0246443
9,0.223987,-0.0816404,-0.0357961
10,0.291694,0.0512564,-0.0334255
11,0.363609,-0.0593637,0.114184
12,0.427477,-0.140204,-0.0379319
13,0.435491,0.013546,-0.109188
14,0.467908,0.109543,-0.162829
15,0.429711,0.0861452,-0.158379
16,0.320671,0.0304347,-0.211595
17,0.124605,-0.0453642,-0.218795
18,-0.0807621,-0.048106,-0.324604
19,-0.270006,0.137853,-0.366394
20,-0.468137,0.204436,-0.34874
21,-0.635349,0.227668,-0.379413
22,-0.706414,0.243016,-0.245623
23,-0.643965,0.0950708,-0.189967
24,-0.543273,0.093166,-0.267474
25,-0.439887,0.0894122,-0.206748
26,-0.302633,-0.0840058,-0.184811
27,-0.114927,-0.155358,-0.170174
28,0.0429739,-0.220875,-0.203453
29,0.133837,-0.237917,-0.224949
30,0.137774,-0.267292,-0.23577
31,0.229523,-0.350755,-0.236605
32,0.343908,-0.350857,-0.316981
33,0.323269,-0.292393,-0.36593
34,0.26676,-0.250079,-0.435318
35,0.229743,-0.209863,-0.380808
36,0.260372,-0.297447,-0.313092
37,0.29798,-0.308814,-0.350654
38,0.282237,-0.295836,-0.443838
39,0.136802,-0.346768,-0.460652
40,-0.0339,-0.305942,-0.51596
41,-0.0386038,-0.241489,-0.478699
42,-0.020897,-0.362026,-0.376101
43,-0.0681552,-0.390994,-0.512999
44,-0.200423,-0.392582,-0.541406
45,-0.286323,-0.374277,-0.554602
46,-0.334447,-0.231678,-0.610379
47,-0.360817,-0.173717,-0.585355
48,-0.45123,-0.293442,-0.566804
49,-0.505308,-0.272812,-0.61155
50,-0.430152,-0.219022,-0.623031
51,-0.390513,-0.21729,-0.634562
52,-0.422082,-0.256206,-0.656286
53,-0.464908,-0.359302,-0.71754
54,-0.445318,-0.290245,-0.709731
55,-0.365431,-0.263433,-0.721422
56,-0.30224,-0.352367,-0.677213
57,-0.29502,-0.391512,-0.656348
58,-0.37793,-0.395704,-0.714194
59,-0.426492,-0.325363,-0.713326
60,-0.449242,-0.296208,-0.673788
61,-0.468996,-0.316136,-0.685918
62,-0.600851,-0.296223,-0.756756
63,-0.72334,-0.260681,-0.831095
64,-0.918535,-0.129816,-0.855798
65,-1.10385,-0.0961321,-1.44458
66,-1.18126,-0.234479,-1.38139
67,-1.20934,-0.33358,-1.36719
68,-1.32676,-0.391583,-1.50998
69,-1.4802,-0.334492,-1.52374
70,-1.56156,-0.345734,-1.42996
71,-1.53173,-0.440819,-1.32019
72,-1.55856,-0.463185,-1.3599
73,-1.66824,-0.392217,-1.36033
74,-1.74259,-0.332491,-1.30093
75,-1.71697,-0.244179,-1.20837
76,-1.7025,-0.166379,-1.25567
77,-1.66351,0.0495024,-1.35585
78,-1.63213,0.346363,-1.34208
79,-1.55303,0.541406,-1.18949
80,-1.54858,0.658153,-1.23589
81,-1.54852,0.61291,-1.07259
82,-1.51703,0.379197,-0.948503
83,-1.49807,0.183367,-0.969549
84,-1.45897,0.0999928,-1.06429
85,-1.44432,0.120896,-1.16982
86,-1.44154,0.192997,-1.24938
87,-1.43782,0.24151,-1.1254
88,-1.40148,0.225325,-1.16195
89,-1.40563,0.235711,-1.19867
90,-1.45689,0.340307,-1.24282
91,-1.45936,0.380269,-1.26349
92,-1.50487,0.415772,-1.2943
93,-1.59625,0.514237,-1.33276
